Data,F1,F2,F3,F4 ,F5,F6,F7,F8
9/1978,-0.384848215,-0.329501359,0.026854318,-0.059062866,0.09616297,-0.016107237,0.046360846,-0.209504338
10/1978,-0.606657724,-0.335201463,-0.124540558,-0.099061544,0.01206909,-0.035184955,0.037942296,-0.179717365
11/1978,-0.675488923,-0.325186176,-0.397050838,-0.307495552,0.106632383,-0.07169355,0.11430674,0.247420423
12/1978,-0.407917091,-0.305567318,-0.239309457,0.009190672,0.046275276,0.006390455,-0.015608513,0.021245756
1/1979,-0.091242194,-0.411444852,-0.002888539,-0.038915271,0.020145366,-0.127440575,-0.247148339,-0.067520174
2/1979,-0.204206437,-0.325864918,-0.094748599,0.005674543,-0.131735193,-0.017944404,-0.002514721,-0.004605772
3/1979,-0.431180683,-0.272244683,-0.072991244,0.10456277,-0.070035018,0.12168215,-0.082352992,0.007105838
4/1979,0.387211738,-0.578902959,-0.199958336,0.04778719,0.142067671,-0.495339278,-0.097773687,-0.009508046
5/1979,-0.556432048,-0.18688052,-0.093366128,-0.077201937,-0.03222332,0.280843157,0.068958656,-0.129438211
6/1979,-0.081672533,-0.345641698,-0.352957417,0.342284324,-0.244279857,-0.07652709,-0.007629558,0.087686359
7/1979,-0.008202484,-0.483851179,-0.204848119,0.071160704,-0.088083771,-0.006597882,-0.0170128,-0.250840236
8/1979,0.216790161,-0.52357825,-0.250649109,0.018136202,0.203748142,0.128629755,-0.398363958,0.063505067
9/1979,-0.239609843,-0.365376205,-0.108866201,-0.282637904,0.197955889,0.246431104,-0.146021952,-0.215426677
10/1979,-0.27332403,-0.656024333,-0.420551333,-0.790112881,0.31179719,0.274194847,-0.071078439,-0.037120102
11/1979,0.078280671,-0.467744634,-0.22189284,-0.261833364,0.095159002,0.181422432,-0.052676929,0.172318561
12/1979,0.142498215,-0.43318131,-0.165409786,0.126960321,-0.241018491,0.365911071,-0.093579787,-0.225790698
1/1980,0.012867763,-0.612438667,0.061049998,-0.076033444,-0.135619972,0.447019431,-0.206251205,0.05233824
2/1980,-0.073482854,-0.434864078,-0.205152478,-0.813993759,0.43018099,0.189129199,-0.324710625,-0.330525256
3/1980,0.227867464,-0.73137386,-0.403525852,-1.064948213,0.131537577,0.229742126,0.223597791,0.089250572
4/1980,1.454995854,-0.681506377,-1.059072041,0.391545121,-0.759221986,0.30394458,0.012160949,0.165594618
5/1980,1.736836451,-0.391670762,-0.122854787,1.058129042,-0.720760151,-0.04466372,0.001548541,-0.111464922
6/1980,1.07317524,-0.125968732,-0.059378049,0.670679599,-0.248831626,0.342751735,-0.162066907,-0.121313252
7/1980,0.576816665,-0.057129585,-0.024229499,-0.090242701,0.466392217,0.493719761,-0.334669852,-0.144543873
8/1980,-0.312785384,-0.13086447,0.293955074,-0.562811682,0.480193496,0.30507675,-0.214081565,-0.070300714
9/1980,-0.507736519,0.019166452,0.113399888,-0.462022797,0.352700678,0.457463548,-0.175377058,-0.352896127
10/1980,-0.603861061,-0.126319463,0.003422801,-0.397216536,0.154574425,0.4892687,-0.291929788,-0.202554469
11/1980,-0.608383109,-0.371407506,-0.085303001,-0.708902524,0.168287287,0.530372157,-0.340935949,-0.207160491
12/1980,-0.274848673,-0.774628258,-0.555951632,-0.618566043,-0.216084353,0.44186061,-0.258605674,-0.13392276
1/1981,0.317727352,-0.903224326,-0.322212292,0.258775176,-0.641229594,0.549146702,-0.157910655,-0.040259226
2/1981,0.223280896,-0.457285921,-0.20909816,-0.321238222,-0.076738901,0.063292943,0.031446329,0.252549895
3/1981,0.169222497,0.022124736,-0.289200844,0.350996803,-0.421155947,0.216865537,-0.085680125,-0.000270563
4/1981,-0.117709013,-0.250827684,-0.321881582,-0.357762443,0.00017687,0.223361189,-0.257614538,-0.031250917
5/1981,-0.17613362,-0.554819936,-0.238664984,-0.93489184,0.097592571,0.510772531,-0.238344009,-0.009767925
6/1981,0.406654935,-0.62125042,-0.377260011,0.187553423,-0.898893953,0.43383604,-0.177110026,0.009177986
7/1981,-0.038127725,-0.662106398,-0.245536461,-0.587092349,-0.326844042,0.602028269,-0.135937015,0.020473135
8/1981,0.239357983,-0.251796203,-0.259531436,-0.534490444,-0.047535434,0.380195111,-0.224974369,-0.003420228
9/1981,0.654765613,-0.226871026,-0.09768941,-0.25778038,-0.205893578,-0.087004845,0.459284868,-0.015921346
10/1981,0.851304849,0.089643954,-0.309567555,0.206307801,-0.316220208,0.10343521,0.131844154,0.039849137
11/1981,1.236019766,-0.053244936,-0.015837736,0.867072168,-0.840546814,0.135834427,0.17364534,0.048271872
12/1981,0.984529471,0.007419806,-0.089790543,-0.181491684,0.160157692,0.017508521,-0.044586738,0.035346569
1/1982,0.892100724,-0.271303983,-0.013810748,-0.954840141,0.661107928,-0.109484688,-0.078624299,-0.241882183
2/1982,-0.065121197,0.265874291,0.026155603,-0.631733778,0.020342062,0.991155293,0.021352933,0.443139408
3/1982,0.8877357,-0.028166327,-0.28118767,0.172113277,-0.300097374,0.232065848,0.158073172,0.004587444
4/1982,0.788119736,-0.170834326,0.04295563,-0.106841954,0.018849449,0.444626814,-0.224393406,0.032823467
